ticker,promoter_pledge_pct,promoter_holding_pct,fii_delta_qoq,dii_delta_qoq,mf_delta_qoq,auditor_qualified,rpt_concern,note
RBLBANK,0.0,60.0,-11.46,-26.05,,,,
RECLTD,0.0,52.63,-0.03,0.62,,,,
REDINGTON,0.0,0.0,0.47,-0.75,,,,
RELIANCE,0.0,50.48,-1.48,0.64,,,,
RHIM,0.0,56.07,-0.4,0.88,,,,
RITES,0.0,72.2,-0.04,0.04,,,,
RKFORGE,0.0,43.39,-1.32,0.64,,,,
RPOWER,0.0,24.98,-0.48,-0.33,,,,
RRKABEL,0.0,61.38,1.58,-1.46,,,,
RVNL,0.0,72.84,-2.45,0.18,,,,
SAGILITY,0.0,50.95,-0.03,-0.86,,,,
SAIL,0.0,65.0,2.08,-1.53,,,,
SAILIFE,0.0,34.53,-1.52,1.17,,,,
SAMMAANCAP,0.0,28.34,-26.61,-4.14,,,,
SAPPHIRE,0.0,26.06,-3.73,4.43,,,,
SARDAEN,0.0,73.16,0.01,0.15,,,,
SAREGAMA,0.0,60.84,-0.68,1.5,,,,
SBFC,0.0,52.31,1.01,-1.25,,,,
SBICARD,0.0,68.86,-0.56,0.01,,,,
SBILIFE,0.0,55.32,-0.56,0.54,,,,
SBIN,0.0,55.47,-0.6,0.41,,,,
SCHAEFFLER,0.0,74.13,0.11,-0.11,,,,
SCHNEIDER,0.0,75.0,0.24,0.58,,,,
SCI,0.0,63.75,0.0,-0.4,,,,
SHREECEM,0.0,62.56,-0.73,0.63,,,,
SHRIRAMFIN,0.0,20.3,9.6,-3.39,,,,
SHYAMMETL,0.0,74.59,-0.12,4.58,,,,
SIEMENS,0.0,75.0,-0.33,0.51,,,,
SIGNATURE,0.0,69.54,-0.08,0.05,,,,
SJVN,0.0,81.85,0.04,0.0,,,,
SOBHA,0.0,52.88,-0.11,-0.11,,,,
SOLARINDS,0.0,73.15,-0.2,0.47,,,,
SONACOMS,0.0,28.01,-0.09,0.14,,,,
SONATSOFTW,0.0,28.17,0.43,-0.87,,,,
SPLPETRO,0.0,64.24,0.11,-0.1,,,,
SRF,0.0,50.26,-1.22,1.27,,,,
STARHEALTH,0.0,58.01,0.98,-0.9,,,,
SUMICHEM,0.0,75.0,-0.39,0.35,,,,
SUNDARMFIN,0.0,37.21,-0.39,0.31,,,,
SUNPHARMA,0.0,54.48,-1.4,1.06,,,,
SUNTV,0.0,75.0,-0.84,0.39,,,,
SUPREMEIND,0.0,48.96,-0.04,-0.16,,,,
SUZLON,0.0,11.7,0.3,1.94,,,,
SWANCORP,39.6,53.96,-0.06,0.02,,,,
SYNGENE,0.0,52.59,-2.09,1.57,,,,
SYRMA,0.0,42.28,0.91,-0.69,,,,
TARIL,0.0,64.36,-0.53,-0.23,,,,
TATACAP,0.0,85.41,0.29,-0.03,,,,
TATACHEM,0.0,37.98,0.16,-1.72,,,,
TATACOMM,0.0,58.86,-0.69,0.71,,,,
TATACONSUM,0.0,33.83,-0.71,0.81,,,,
TATAELXSI,0.0,43.9,-1.23,-0.36,,,,
TATAINVEST,0.0,73.38,0.04,0.02,,,,
TATAPOWER,0.0,46.86,-0.01,0.14,,,,
TATASTEEL,0.0,32.94,0.32,-0.23,,,,
TATATECH,0.0,55.17,0.53,1.04,,,,
TBOTEK,0.0,44.4,-0.78,0.75,,,,
TCS,0.0,71.77,-0.59,0.07,,,,
TECHM,0.0,34.96,0.07,-0.42,,,,
TECHNOE,0.0,56.93,-0.57,-1.11,,,,
TEGA,0.0,67.51,0.66,-0.29,,,,
